shop,shop_url,website,category,est_annual_sales_k,years_active,ratio_per_year
CapsuleCoInnovations,https://www.etsy.com/shop/CapsuleCoInnovations,,,1.8,7.0,257
WhiskerWingStudio,https://www.etsy.com/shop/WhiskerWingStudio,,,0.3,1.0,300
TranquilTrinketsCo,https://www.etsy.com/shop/TranquilTrinketsCo,,flexi and dragons,8.0,2.5,3200
Lemoniac,https://www.etsy.com/shop/Lemoniac,,pins and toys,2.0,1.5,1333
JANK3DDesigns,https://www.etsy.com/shop/JANK3DDesigns,,toys n ducks,2.8,3.0,933
TMLFunCreations,https://www.etsy.com/shop/TMLFunCreations,,,0.5,1.0,500
UGotDucky,https://www.etsy.com/shop/UGotDucky,,ducks,0.6,0.8,750
Kevins3DKreations,https://www.etsy.com/shop/Kevins3DKreations,,ducks,5.8,1.5,3866
FlightFlair,https://www.etsy.com/shop/FlightFlair,,ducks & other non 3dp,2.1,1.0,2100
FluffyDucKeys,https://www.etsy.com/shop/FluffyDucKeys,,keys for keyboard,2.5,2.0,1250
FrawstedCreations,https://www.etsy.com/shop/FrawstedCreations,,random,11.9,3.0,3966
SulSimArt,https://www.etsy.com/shop/SulSimArt,,home random,7.7,3.0,2566
AlexStudio2,https://www.etsy.com/shop/AlexStudio2,,ducks and home,1.6,1.5,1066
CO3Dprint,https://www.etsy.com/shop/CO3Dprint,,,15.0,4.0,3750
TDStudiosChicago,https://www.etsy.com/shop/TDStudiosChicago,,signs,2.0,1.0,2000
RiversLikeNook,https://www.etsy.com/shop/RiversLikeNook,,,1.2,0.8,1500
JARhomeideas,https://www.etsy.com/shop/JARhomeideas,,,4.0,3.0,1333
CustomizedDelight,https://www.etsy.com/shop/CustomizedDelight,,signs,1.7,2.5,680
Plastangular,https://www.etsy.com/shop/Plastangular,,,1.6,4.0,400
MakersRemix,https://www.etsy.com/shop/MakersRemix,,,9.4,3.0,3133
